"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"100","0","IDN des Normdatensatzes oder Standardnummer","IDN des Normdatensatzes oder Standardnummer","1","0","0","","0","","","","","-6","FA","","","","9999","0"
"100","1","URI des Realweltobjects","URI des Realweltobjects","1","0","0","","0","","","","","-6","FA","","","","9999","0"
"100","2","Quelle der Ansetzung oder des Terms","Quelle der Ansetzung oder des Terms","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"100","4","Code für Beziehungskennzeichnung","Code für Beziehungskennzeichnung","1","0","0","","0","","","","","-6","FA","","","","9999","0"
"100","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","9","Koha-Normdatenidentnummer","Koha-Normdatenidentnummer","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","a","Personenname","Personenname","0","0","0","biblio.author","0","","PERSO_NAME","","0","0","FA","'100b','100c','100q','100d','100e','110a','110b','110c','110d','110e','111a','111e','111c','111d','130a','700a','700b','700c','700q','700d','700e','710a','710b','710c','710d','710e','711a','711e','711c','711d','720a','720e','796a','796b','796c','796q','796d','796e','797a','797b','797c','797d','797e','798a','798e','798c','798d','800a','800b','800c','800q','800d','800e','810a','810b','810c','810d','810e','811a','811e','811c','811d','896a','896b','896c','896q','896d','896e','897a','897b','897c','897d','897e','898a','898e','898c','898d','505r'","","","9999","0"
"100","b","Zählung","Zählung","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","c","Titel und andere Wörter in Verbindung mit einem Namen","Titel und andere Wörter in Verbindung mit einem Namen","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","d","Datumsangaben in Verbindung mit einem Namen","Datumsangaben in Verbindung mit einem Namen","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","e","Funktionsbezeichnung","Funktionsbezeichnung","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"100","f","Erscheinungsjahr eines Werkes","Erscheinungsjahr eines Werkes","0","0","0","","0","","","","0","0","FA","","","","9999","0"
